model,track,split,metric,value
Melody-G2,GSM5652243_Pancreas-Acinar-Z000000QX,TEST,AUC,0.803179919
Melody-G2,GSM5652250_Pancreas-Beta-Z00000452,SAMPLE_VALID,AUC,0.893189901
Melody-G2,GSM5652250_Pancreas-Beta-Z00000452,SAMPLE_TEST,AUC,0.903895319
Melody-G2,GSM5652250_Pancreas-Beta-Z00000452,VALID,AUC,0.881902687
Melody-G2,GSM5652250_Pancreas-Beta-Z00000452,TEST,AUC,0.879641818
Melody-G2,GSM5652253_Pancreas-Alpha-Z00000453,SAMPLE_VALID,AUC,0.903153085
Melody-G2,GSM5652253_Pancreas-Alpha-Z00000453,SAMPLE_TEST,AUC,0.911295779
Melody-G2,GSM5652253_Pancreas-Alpha-Z00000453,VALID,AUC,0.880724507
Melody-G2,GSM5652253_Pancreas-Alpha-Z00000453,TEST,AUC,0.880496974
Melody-G2,GSM5652264_Thyroid-Epithelial-Z0000042S,SAMPLE_VALID,AUC,0.890752218
Melody-G2,GSM5652264_Thyroid-Epithelial-Z0000042S,SAMPLE_TEST,AUC,0.896463975
Melody-G2,GSM5652264_Thyroid-Epithelial-Z0000042S,VALID,AUC,0.87491945
Melody-G2,GSM5652264_Thyroid-Epithelial-Z0000042S,TEST,AUC,0.875768213
Melody-G2,GSM5652267_Fallopian-Epithelial-Z000000Q7,SAMPLE_VALID,AUC,0.916881875
Melody-G2,GSM5652267_Fallopian-Epithelial-Z000000Q7,SAMPLE_TEST,AUC,0.914427767
Melody-G2,GSM5652267_Fallopian-Epithelial-Z000000Q7,VALID,AUC,0.890604219
Melody-G2,GSM5652267_Fallopian-Epithelial-Z000000Q7,TEST,AUC,0.889661899
Melody-G2,GSM5652270_Ovary-Epithelial-Z000000QT,SAMPLE_VALID,AUC,0.907768907
Melody-G2,GSM5652270_Ovary-Epithelial-Z000000QT,SAMPLE_TEST,AUC,0.905415259
Melody-G2,GSM5652270_Ovary-Epithelial-Z000000QT,VALID,AUC,0.858202592
Melody-G2,GSM5652270_Ovary-Epithelial-Z000000QT,TEST,AUC,0.855045252
Melody-G2,GSM5652274_Bone_marrow-Erythrocyte_progenitors-Z000000RF,SAMPLE_VALID,AUC,0.842991353
Melody-G2,GSM5652274_Bone_marrow-Erythrocyte_progenitors-Z000000RF,SAMPLE_TEST,AUC,0.862951029
Melody-G2,GSM5652274_Bone_marrow-Erythrocyte_progenitors-Z000000RF,VALID,AUC,0.828182837
Melody-G2,GSM5652274_Bone_marrow-Erythrocyte_progenitors-Z000000RF,TEST,AUC,0.825545725
Melody-G2,GSM5652277_Blood-T-CD3-Z000000TV,SAMPLE_VALID,AUC,0.884465685
Melody-G2,GSM5652277_Blood-T-CD3-Z000000TV,SAMPLE_TEST,AUC,0.895874266
Melody-G2,GSM5652277_Blood-T-CD3-Z000000TV,VALID,AUC,0.867395049
Melody-G2,GSM5652277_Blood-T-CD3-Z000000TV,TEST,AUC,0.864638818
Melody-G2,GSM5652299_Blood-NK-Z000000TM,SAMPLE_VALID,AUC,0.890231154
Melody-G2,GSM5652299_Blood-NK-Z000000TM,SAMPLE_TEST,AUC,0.909193996
Melody-G2,GSM5652299_Blood-NK-Z000000TM,VALID,AUC,0.890051277
Melody-G2,GSM5652299_Blood-NK-Z000000TM,TEST,AUC,0.889609749
Melody-G2,GSM5652317_Blood-B-Z000000UB,SAMPLE_VALID,AUC,0.883021143
Melody-G2,GSM5652317_Blood-B-Z000000UB,SAMPLE_TEST,AUC,0.902400849
Melody-G2,GSM5652317_Blood-B-Z000000UB,VALID,AUC,0.872961441
