gene,score
PLA2G1B,0.0139158478082329
MMP9,-0.0109209322563296
MMP12,-0.0109123415646859
IL17RB,-0.0108966814501862
REG3A,-0.0108918491860225
EVI2A,0.0138085157116705
VAV1,-0.010807553025525
CD109,0.0137502301633642
PTPRB,-0.0107915349651595
PDGFB,0.0136604635743351
FGL2,-0.0107295209108273
CD163,-0.0107173507641799
SLC2A1,0.0135964749387515
DNAJC22,-0.0106558736281896
CEACAM6,0.0133440563097723
GPR50,-0.01044853370856
LCP2,-0.0104405694214963
CRISPLD2,-0.0103913519179348
F2RL2,-0.0103560048018279
ABCC3,-0.0103388234189972
CD22,-0.01031913641739
VTCN1,0.01311228285598
ECM1,-0.010285758001261
ESM1,-0.0102578382538758
MEF2C,-0.0102571223630578
CD93,-0.010253811367225
FABP3,-0.010220701410267
SAMSN1,0.0129529386062432
ANO3,-0.0101279935310587
TNFRSF11B,-0.010116539275686
FGG,-0.0101061588565405
GPR84,-0.010090677714517
FNDC9,0.0127889178251136
GGT5,-0.0100446817205502
CD300LB,-0.0099815938295342
HSPA6,-0.0099495577088033
ZNF521,-0.0099438305813453
HCLS1,-0.0099312130030508
COL6A2,-0.0099066937377365
SUSD2,0.0125941003750152
CXCL3,-0.0098767158036784
FIBIN,-0.0097490187537722
FFAR4,0.0123884470593811
CD9,-0.0097309425067339
DHRS9,-0.009694342581467
SPN,-0.0096903156948161
STRA6,-0.0096729553390526
