model,track,split,metric,value
iDNA-ABT,Tonsil-Palatine-Epithelial,VALID,AUC,0.7344773138104509
iDNA-ABT,Tonsil-Palatine-Epithelial,TEST,Pearson,0.4721666322372213
iDNA-ABT,Tonsil-Palatine-Epithelial,TEST,Spearman,0.4022524509337972
iDNA-ABT,Tonsil-Palatine-Epithelial,TEST,AUC,0.7354829577163536
iDNA-ABT,GSM5652176_Adipocytes-Z000000T7,SAMPLE_VALID,Pearson,0.4491077126169785
iDNA-ABT,GSM5652176_Adipocytes-Z000000T7,SAMPLE_VALID,Spearman,0.3808126860691354
iDNA-ABT,GSM5652176_Adipocytes-Z000000T7,SAMPLE_VALID,AUC,0.7171753985624009
iDNA-ABT,GSM5652176_Adipocytes-Z000000T7,SAMPLE_TEST,Pearson,0.5090317729575291
iDNA-ABT,GSM5652176_Adipocytes-Z000000T7,SAMPLE_TEST,Spearman,0.4521946102251673
iDNA-ABT,GSM5652176_Adipocytes-Z000000T7,SAMPLE_TEST,AUC,0.7562832680044624
iDNA-ABT,GSM5652335_Lung-Bronchus-Epithelial-Z000000QD,SAMPLE_VALID,Pearson,0.4427398455753127
iDNA-ABT,GSM5652335_Lung-Bronchus-Epithelial-Z000000QD,SAMPLE_VALID,Spearman,0.3877567332016496
iDNA-ABT,GSM5652335_Lung-Bronchus-Epithelial-Z000000QD,SAMPLE_VALID,AUC,0.7127131468577573
iDNA-ABT,GSM5652335_Lung-Bronchus-Epithelial-Z000000QD,SAMPLE_TEST,Pearson,0.4813436242125411
iDNA-ABT,GSM5652335_Lung-Bronchus-Epithelial-Z000000QD,SAMPLE_TEST,Spearman,0.4457599543080109
iDNA-ABT,GSM5652335_Lung-Bronchus-Epithelial-Z000000QD,SAMPLE_TEST,AUC,0.7395327612435881
iDNA-ABT,GSM5652179_Aorta-Endothel-Z00000422,SAMPLE_VALID,Pearson,0.4484781720785339
iDNA-ABT,GSM5652179_Aorta-Endothel-Z00000422,SAMPLE_VALID,Spearman,0.3634187356256463
iDNA-ABT,GSM5652179_Aorta-Endothel-Z00000422,SAMPLE_VALID,AUC,0.722574022444171
iDNA-ABT,GSM5652179_Aorta-Endothel-Z00000422,SAMPLE_TEST,Pearson,0.5111767376705009
iDNA-ABT,GSM5652179_Aorta-Endothel-Z00000422,SAMPLE_TEST,Spearman,0.4173518416786748
iDNA-ABT,GSM5652179_Aorta-Endothel-Z00000422,SAMPLE_TEST,AUC,0.7577816155995134
iDNA-ABT,GSM5652321_Epidermal-Keratinocytes-Z00000424,SAMPLE_VALID,Pearson,0.3708065917015037
iDNA-ABT,GSM5652321_Epidermal-Keratinocytes-Z00000424,SAMPLE_VALID,Spearman,0.2699501930850439
iDNA-ABT,GSM5652321_Epidermal-Keratinocytes-Z00000424,SAMPLE_VALID,AUC,0.6752197309884055
iDNA-ABT,GSM5652321_Epidermal-Keratinocytes-Z00000424,SAMPLE_TEST,Pearson,0.4444963621996561
iDNA-ABT,GSM5652321_Epidermal-Keratinocytes-Z00000424,SAMPLE_TEST,Spearman,0.352985735474606
iDNA-ABT,GSM5652321_Epidermal-Keratinocytes-Z00000424,SAMPLE_TEST,AUC,0.7168446961719924
iDNA-ABT,GSM5652189_Kidney-Tubular-Endothel-Z0000042R,SAMPLE_VALID,Pearson,0.4882400875807427
iDNA-ABT,GSM5652189_Kidney-Tubular-Endothel-Z0000042R,SAMPLE_VALID,Spearman,0.3712752001340498
iDNA-ABT,GSM5652189_Kidney-Tubular-Endothel-Z0000042R,SAMPLE_VALID,AUC,0.7475324047588765
iDNA-ABT,GSM5652189_Kidney-Tubular-Endothel-Z0000042R,SAMPLE_TEST,Pearson,0.5353635113749359
iDNA-ABT,GSM5652189_Kidney-Tubular-Endothel-Z0000042R,SAMPLE_TEST,Spearman,0.4286029757742527
iDNA-ABT,GSM5652189_Kidney-Tubular-Endothel-Z0000042R,SAMPLE_TEST,AUC,0.7789323355200002
iDNA-ABT,GSM5652338_Prostate-Epithelial-Z000000RV,SAMPLE_VALID,Pearson,0.427670345708599
