model,fpr,tpr
Melody-MT,0.0027876869891698,0.0950732370513906
Melody-MT,0.0028030744058533,0.0954363615502115
Melody-MT,0.0028184618225369,0.0958514067628973
Melody-MT,0.0028274378156023,0.0962058778094074
Melody-MT,0.0028402606628386,0.0965869502093174
Melody-MT,0.0028633417878639,0.0970266737860007
Melody-MT,0.0028761646351002,0.0973516589950072
Melody-MT,0.0028851406281656,0.0977045275503486
Melody-MT,0.0028928343365074,0.0980964968902056
Melody-MT,0.0029082217531909,0.0984708388272072
Melody-MT,0.0029236091698745,0.0988259508701847
Melody-MT,0.0029428434407289,0.0992159972206393
Melody-MT,0.0029595131421361,0.0995608533201373
Melody-MT,0.0029723359893724,0.0999220548295558
Melody-MT,0.0029992639685686,0.1003181906464513
Melody-MT,0.0030120868158049,0.1006781101629348
Melody-MT,0.0030261919477648,0.1010354656935485
Melody-MT,0.0030351679408302,0.1014271145351718
Melody-MT,0.0030479907880665,0.1018338267937805
Melody-MT,0.0030595313505792,0.1022209886601314
Melody-MT,0.0030697896283682,0.1026353928763498
Melody-MT,0.0030903061839463,0.1030203112550646
Melody-MT,0.0031095404548007,0.1033735003086398
Melody-MT,0.0031300570103788,0.103795275984234
Melody-MT,0.0031428798576151,0.1041651309459633
Melody-MT,0.0031544204201277,0.1045058205684228
Melody-MT,0.0031685255520876,0.1049320832192893
Melody-MT,0.0031890421076657,0.1052875157605006
Melody-MT,0.003201864954902,0.1056477557752179
Melody-MT,0.0032108409479674,0.1060422891009447
Melody-MT,0.0032236637952037,0.106412144062674
