model,track,split,metric,value
iDNA-ABT,GSM5652189_Kidney-Tubular-Endothel-Z0000042R,SAMPLE_VALID,Spearman,0.3712752001340498
iDNA-ABT,GSM5652189_Kidney-Tubular-Endothel-Z0000042R,SAMPLE_VALID,AUC,0.7475324047588765
iDNA-ABT,GSM5652189_Kidney-Tubular-Endothel-Z0000042R,SAMPLE_TEST,Spearman,0.4286029757742527
iDNA-ABT,GSM5652189_Kidney-Tubular-Endothel-Z0000042R,SAMPLE_TEST,AUC,0.7789323355200002
iDNA-ABT,GSM5652338_Prostate-Epithelial-Z000000RV,SAMPLE_VALID,Spearman,0.351739999296155
iDNA-ABT,GSM5652338_Prostate-Epithelial-Z000000RV,SAMPLE_VALID,AUC,0.7060811501311707
iDNA-ABT,GSM5652338_Prostate-Epithelial-Z000000RV,SAMPLE_TEST,Spearman,0.4152496532272879
iDNA-ABT,GSM5652338_Prostate-Epithelial-Z000000RV,SAMPLE_TEST,AUC,0.7381141013535573
iDNA-ABT,GSM5652198_Colon-Fibroblasts-Z0000042A,SAMPLE_VALID,Spearman,0.215160363307909
iDNA-ABT,GSM5652198_Colon-Fibroblasts-Z0000042A,SAMPLE_VALID,AUC,0.65309771453427
iDNA-ABT,GSM5652198_Colon-Fibroblasts-Z0000042A,SAMPLE_TEST,Spearman,0.2837034058627665
iDNA-ABT,GSM5652198_Colon-Fibroblasts-Z0000042A,SAMPLE_TEST,AUC,0.6888479523378667
iDNA-ABT,GSM5652342_Bladder-Epithelial-Z000000QM,SAMPLE_VALID,Spearman,0.354766797612131
iDNA-ABT,GSM5652342_Bladder-Epithelial-Z000000QM,SAMPLE_VALID,AUC,0.6949126718704057
iDNA-ABT,GSM5652342_Bladder-Epithelial-Z000000QM,SAMPLE_TEST,Spearman,0.416637319160664
iDNA-ABT,GSM5652342_Bladder-Epithelial-Z000000QM,SAMPLE_TEST,AUC,0.7296061385755814
iDNA-ABT,GSM5652200_Heart-Fibroblasts-Z0000043R,SAMPLE_VALID,Spearman,0.3350478152855565
iDNA-ABT,GSM5652200_Heart-Fibroblasts-Z0000043R,SAMPLE_VALID,AUC,0.6855129871930009
iDNA-ABT,GSM5652200_Heart-Fibroblasts-Z0000043R,SAMPLE_TEST,Spearman,0.383339845585942
iDNA-ABT,GSM5652200_Heart-Fibroblasts-Z0000043R,SAMPLE_TEST,AUC,0.712392638749119
iDNA-ABT,GSM5652347_Breast-Luminal-Epithelial-Z000000V2,SAMPLE_VALID,Spearman,0.3550537161196161
iDNA-ABT,GSM5652347_Breast-Luminal-Epithelial-Z000000V2,SAMPLE_VALID,AUC,0.7252726065508922
iDNA-ABT,GSM5652347_Breast-Luminal-Epithelial-Z000000V2,SAMPLE_TEST,Spearman,0.4161962415963096
iDNA-ABT,GSM5652347_Breast-Luminal-Epithelial-Z000000V2,SAMPLE_TEST,AUC,0.7519704516871275
iDNA-ABT,GSM5652204_Dermal-Fibroblasts-Z00000423,SAMPLE_VALID,Spearman,0.3901476295047328
iDNA-ABT,GSM5652204_Dermal-Fibroblasts-Z00000423,SAMPLE_VALID,AUC,0.73438071904368
iDNA-ABT,GSM5652204_Dermal-Fibroblasts-Z00000423,SAMPLE_TEST,Spearman,0.4553279082261292
iDNA-ABT,GSM5652204_Dermal-Fibroblasts-Z00000423,SAMPLE_TEST,AUC,0.7724704535503633
iDNA-ABT,GSM5652350_Breast-Basal-Epithelial-Z000000V6,SAMPLE_VALID,Spearman,0.2688615585447841
iDNA-ABT,GSM5652350_Breast-Basal-Epithelial-Z000000V6,SAMPLE_VALID,AUC,0.6969265829123907
iDNA-ABT,GSM5652350_Breast-Basal-Epithelial-Z000000V6,SAMPLE_TEST,Spearman,0.3470127735854243
iDNA-ABT,GSM5652350_Breast-Basal-Epithelial-Z000000V6,SAMPLE_TEST,AUC,0.7355316172813999
iDNA-ABT,GSM5652205_Skeletal-Muscle-Z00000427,SAMPLE_VALID,Spearman,0.3630919299138335
iDNA-ABT,GSM5652205_Skeletal-Muscle-Z00000427,SAMPLE_VALID,AUC,0.7066644702199856
iDNA-ABT,GSM5652205_Skeletal-Muscle-Z00000427,SAMPLE_TEST,Spearman,0.4311016917927057
iDNA-ABT,GSM5652205_Skeletal-Muscle-Z00000427,SAMPLE_TEST,AUC,0.744722736638719
iDNA-ABT,GSM5652354_Lung-Alveolar-Epithelial-Z000000T1,SAMPLE_VALID,Spearman,0.3965971499458055
iDNA-ABT,GSM5652354_Lung-Alveolar-Epithelial-Z000000T1,SAMPLE_VALID,AUC,0.7180239773431902
iDNA-ABT,GSM5652354_Lung-Alveolar-Epithelial-Z000000T1,SAMPLE_TEST,Spearman,0.449386846142454
iDNA-ABT,GSM5652354_Lung-Alveolar-Epithelial-Z000000T1,SAMPLE_TEST,AUC,0.7445584398290513
iDNA-ABT,GSM5652207_Aorta-Smooth-Muscle-Z0000041U,SAMPLE_VALID,Spearman,0.2094522576561985
iDNA-ABT,GSM5652207_Aorta-Smooth-Muscle-Z0000041U,SAMPLE_VALID,AUC,0.6274575837346137
iDNA-ABT,GSM5652207_Aorta-Smooth-Muscle-Z0000041U,SAMPLE_TEST,Spearman,0.2604920931648073
iDNA-ABT,GSM5652207_Aorta-Smooth-Muscle-Z0000041U,SAMPLE_TEST,AUC,0.6583600374568697
iDNA-ABT,GSM5652358_Gallbladder-Epithelial-Z00000432,SAMPLE_VALID,Spearman,0.3432251035597947
iDNA-ABT,GSM5652358_Gallbladder-Epithelial-Z00000432,SAMPLE_VALID,AUC,0.703307873241604
iDNA-ABT,GSM5652358_Gallbladder-Epithelial-Z00000432,SAMPLE_TEST,Spearman,0.4172476996599757
iDNA-ABT,GSM5652358_Gallbladder-Epithelial-Z00000432,SAMPLE_TEST,AUC,0.737143384530327
iDNA-ABT,GSM5652215_Heart-Cardiomyocyte-Z0000044P,SAMPLE_VALID,Spearman,0.2322893148072749
iDNA-ABT,GSM5652215_Heart-Cardiomyocyte-Z0000044P,SAMPLE_VALID,AUC,0.663863360338889
iDNA-ABT,GSM5652215_Heart-Cardiomyocyte-Z0000044P,SAMPLE_TEST,Spearman,0.291639948554142
iDNA-ABT,GSM5652215_Heart-Cardiomyocyte-Z0000044P,SAMPLE_TEST,AUC,0.7002124031128338
iDNA-ABT,GSM5652359_Gastric-fundus-Epithelial-Z000000RX,SAMPLE_VALID,Spearman,0.3357651986722194
iDNA-ABT,GSM5652359_Gastric-fundus-Epithelial-Z000000RX,SAMPLE_VALID,AUC,0.6873069187905199
iDNA-ABT,GSM5652359_Gastric-fundus-Epithelial-Z000000RX,SAMPLE_TEST,Spearman,0.3971797392034738
iDNA-ABT,GSM5652359_Gastric-fundus-Epithelial-Z000000RX,SAMPLE_TEST,AUC,0.7212199053686076
iDNA-ABT,GSM5652218_Bone-Osteoblasts-Z0000042Z,SAMPLE_VALID,Spearman,0.4334868967743127
iDNA-ABT,GSM5652218_Bone-Osteoblasts-Z0000042Z,SAMPLE_VALID,AUC,0.7368512502646607
iDNA-ABT,GSM5652218_Bone-Osteoblasts-Z0000042Z,SAMPLE_TEST,Spearman,0.4775714626331283
iDNA-ABT,GSM5652218_Bone-Osteoblasts-Z0000042Z,SAMPLE_TEST,AUC,0.7582076740422384
iDNA-ABT,GSM5652219_Oligodendrocytes-Z000000TK,SAMPLE_VALID,Spearman,0.2384482437043876
iDNA-ABT,GSM5652219_Oligodendrocytes-Z000000TK,SAMPLE_VALID,AUC,0.697898650528548
iDNA-ABT,GSM5652219_Oligodendrocytes-Z000000TK,SAMPLE_TEST,Spearman,0.3155410763726587
iDNA-ABT,GSM5652219_Oligodendrocytes-Z000000TK,SAMPLE_TEST,AUC,0.7366931797436445
iDNA-ABT,GSM5652223_Cortex-Neuron-Z000000TF,SAMPLE_VALID,Spearman,0.377962141637411
