model,recall,precision
Melody-MT,0.999608030660143,0.8221849123173299
Melody-MT,0.9996070691654418,0.8222159831598039
Melody-MT,0.9996064281689744,0.8222484039003963
Melody-MT,0.9996061076707408,0.822276755124741
Melody-MT,0.9996029026884032,0.822306854703694
Melody-MT,0.9996022616919358,0.8223336455083707
Melody-MT,0.9996016206954684,0.8223658589255425
Melody-MT,0.9996016206954684,0.8223914462191577
Melody-MT,0.9996000182042996,0.8224196201869084
Melody-MT,0.9995993772078322,0.8224475028795889
Melody-MT,0.9995990567095984,0.8224741329569704
Melody-MT,0.9995980952148972,0.8224982851916774
Melody-MT,0.999597133720196,0.822527861884067
Melody-MT,0.9995964927237286,0.8225537996474939
Melody-MT,0.9995955312290274,0.8225825126313077
Melody-MT,0.99959489023256,0.8226095387403849
Melody-MT,0.9995939287378588,0.8226365198785857
Melody-MT,0.9995932877413912,0.8226646345838134
Melody-MT,0.9995926467449238,0.8226875430616533
Melody-MT,0.9995920057484564,0.8227154443021463
Melody-MT,0.9995894417625864,0.8227439350596866
Melody-MT,0.999588800766119,0.8227722743545931
Melody-MT,0.9995865572784828,0.8228016843040559
Melody-MT,0.999586236780249,0.8228250815609255
Melody-MT,0.9995846342890804,0.8228571941162938
Melody-MT,0.999582711299678,0.8228829662666637
Melody-MT,0.9995823908014444,0.8229111450189933
Melody-MT,0.9995811088085094,0.8229335399175546
