distance_window,model,meQTL_dataset,score
2000,CpGenie,MDSs,0.3023413902145946
2000,CpGenie,skin,0.2580174432950936
2000,INTERACT,CPG_units,0.3189200002489372
2000,INTERACT,EPIC,0.2058882420095515
2000,INTERACT,GTEX_BreastMammaryTissue,0.3111531309561242
2000,INTERACT,GTEX_ColonTransverse,0.3451072311678345
2000,INTERACT,GTEX_KidneyCortex,0.3004921182675578
2000,INTERACT,GTEX_Lung,0.3356011431083894
2000,INTERACT,GTEX_MuscleSkeletal,0.2351513946779973
2000,INTERACT,GTEX_Ovary,0.2945627688245286
2000,INTERACT,GTEX_Prostate,0.3496733818426392
2000,INTERACT,GTEX_Testis,0.2671681377970281
2000,INTERACT,GTEX_WholeBlood,0.2923812965459375
2000,INTERACT,MDSs,0.369861093709705
2000,INTERACT,skin,0.3100925881012837
2000,Melody-MT,CPG_units,0.3985655003761696
2000,Melody-MT,EPIC,0.2221482591615782
2000,Melody-MT,GTEX_BreastMammaryTissue,0.4358204353007036
2000,Melody-MT,GTEX_ColonTransverse,0.4400707808244941
2000,Melody-MT,GTEX_KidneyCortex,0.4121357421154329
2000,Melody-MT,GTEX_Lung,0.4504218366816342
2000,Melody-MT,GTEX_MuscleSkeletal,0.3590999787790838
2000,Melody-MT,GTEX_Ovary,0.4192307589267476
2000,Melody-MT,GTEX_Prostate,0.4865704747364931
2000,Melody-MT,GTEX_Testis,0.3394200135044101
2000,Melody-MT,GTEX_WholeBlood,0.3518197349013373
2000,Melody-MT,MDSs,0.4683600760973914
2000,Melody-MT,skin,0.3305148465435283
